"","Estimate","Std. Error","t value","Pr(>|t|)","Padj","gene"
"ILMN_2168217",0.10084442028062,0.0392961881334541,2.56626469565296,0.0107985261312398,0.13244756084105,"GPR183"
"ILMN_1798706",0.132047965316851,0.0407038535532651,3.24411459332845,0.00132048288279208,0.0684272628038666,"GPR183"
"ILMN_1653143",-0.0578686622003633,0.0280423661002378,-2.06361553064071,0.0399723353552265,0.213839513938709,"ECD"
"ILMN_1672174",-0.118137572277929,0.0401058320592231,-2.94564571315908,0.00349261540561413,0.0880618317977609,"ECE1"
"ILMN_2072178",-0.240297394947275,0.0762351978685186,-3.1520531416697,0.00179662598404364,0.0743541502804165,"ECHDC3"
"ILMN_1724581",0.0584843724947888,0.0249856024396518,2.34072292777599,0.0199459138592541,0.162631740875523,"EDC3"
"ILMN_1726169",0.0564538852573503,0.0201513856400657,2.80148900257791,0.00544008318486718,0.101317325651082,"EDF1"
"ILMN_1343291",0.0515975263669877,0.0230207138327373,2.24135214667462,0.0257840477568708,0.178759461731739,"EEF1A1"
"ILMN_1725105",0.0737493024780389,0.0324222393084304,2.27465172212404,0.023680505057526,0.173413702859544,"EEF1E1"
"ILMN_1811616",-0.0861766131875532,0.0359432022207733,-2.39757750737489,0.0171567109856224,0.154140518023637,"EEPD1"
"ILMN_1653203",-0.0767101526753005,0.0322130499518588,-2.3813377742853,0.0179160052217268,0.156850048634592,"EFEMP2"
"ILMN_1761463",-0.0577021416527662,0.0238471473939651,-2.41966641542077,0.0161695480951938,0.151845960818765,"EFHD2"
"ILMN_1665696",-0.0503413054779015,0.0246855824617769,-2.03929988509892,0.0423555403879893,0.218428467530593,"EFNA4"
"ILMN_1664776",-0.0614129507208152,0.0237783569394579,-2.58272473902124,0.0103082917803771,0.129472367674197,"EFR3A"
"ILMN_1729167",0.0824759484761123,0.0305147354090321,2.70282364800385,0.00729394337864026,0.111935791889212,"EFTUD1"
"ILMN_2404629",0.0572157162418075,0.0278313217976473,2.0558030501679,0.0407252594513016,0.214729871911171,"EFTUD1"
"ILMN_2354391",-0.0535263949517252,0.0223529513440877,-2.39460079019421,0.0172937265788136,0.154445530631618,"EGLN2,RAB4B-EGLN2"
"ILMN_1803348",0.0796022075384609,0.0273222297497114,2.91345941629459,0.00386167961290498,0.0890711255330429,"EHBP1"
"ILMN_1669394",0.0585319835357382,0.0262267114752471,2.2317698347725,0.0264187043438756,0.18024228663279,"EI24"
"ILMN_1755114",-0.0522457116831096,0.0239496032983032,-2.18148547315651,0.0299762545875966,0.190468441433736,"EIF2AK4"
"ILMN_1753716",0.0490198192569215,0.0222122122964341,2.20688595096811,0.0281305574941919,0.18512623351555,"EIF2B1"
"ILMN_1688534",0.0804819161233487,0.0358585937852807,2.2444247703987,0.025583367919235,0.178583803069782,"EIF2B5"
"ILMN_1671326",-0.0464161807793192,0.0227465453432879,-2.04058155112401,0.0422269718656604,0.218220672646281,"EIF2C1"
"ILMN_1695719",-0.0656588700055261,0.0325308652218589,-2.01835609221384,0.0445041109479483,0.223620572563759,"EIF2C2"
"ILMN_1706304",-0.0944441369229685,0.0363795788172805,-2.59607560047141,0.00992538898720456,0.128419757834446,"EIF2C4"
"ILMN_1715636",0.054079160360114,0.0216192729706196,2.50143288507467,0.0129382298954869,0.140535717069786,"EIF3B"
"ILMN_1739847",0.049230082628979,0.0199465160642086,2.46810432811953,0.014178694877351,0.145094792523243,"EIF3D"
"ILMN_1694398",0.0485147615619976,0.0232479035214403,2.08684458438392,0.037803403135585,0.208378148331183,"EIF3F"
"ILMN_1689446",0.0577609683169052,0.0212361519425102,2.71993572438518,0.0069363161477254,0.110005483024117,"EIF3G"
"ILMN_1683660",0.0624456187826082,0.0215330896026461,2.89998416088579,0.00402651061939115,0.0914658491836693,"EIF3H"
"ILMN_1694057",0.0550050906797516,0.0212938644366697,2.58314270964497,0.0102961067533796,0.129472367674197,"EIF3K"
"ILMN_1685722",0.0595777027966192,0.0219584186156405,2.71320552902582,0.00707503801047771,0.110341920832334,"EIF4A2"
"ILMN_1655497",0.0548611378980204,0.0234547838136298,2.33901699260771,0.0200354257452546,0.162697966410686,"EIF4B"
"ILMN_1728083",-0.0484526096756982,0.0227153751539108,-2.13303145325145,0.03378861164556,0.19963576752554,"EIF4EBP2"
"ILMN_1718044",0.0674550139873139,0.0310618041960828,2.17163863249838,0.0307194171508227,0.191940415800292,"ELAC2"
"ILMN_1706635",-0.304448494937776,0.106723723426699,-2.85267872186712,0.00465726939948444,0.095180253324031,"ELANE"
