"","X","estimate","SE","df","t.ratio","pval","padj","fold_change","gene","Chr","male_fold_change","female_fold_change","female_direction","male_direction","opp"
"ILMN_1687149","ILMN_1687149",0.150518399303739,0.0176231530645348,290.410869550399,8.54094603573781,7.60719014276489e-16,6.1055308085831e-12,-1.10849536180536,"BDP1","5",-1.10603967711463,-1.11368865181535,"negative","negative",0
"ILMN_1744822","ILMN_1744822",-0.068782154771641,0.0119862985940077,290.085042564897,-5.73839824130757,2.40396331449018e-08,0.00013962218930559,1.04845124932493,"BECN1","17",1.03426403997981,1.07899166844332,"positive","positive",0
"ILMN_1718982","ILMN_1718982",-0.553423215155726,0.0252817834147947,291.098613296853,-21.890196829701,1.82561355349869e-63,2.17467086492764e-59,1.46426697585446,"BEST1","11",1.41573451556908,1.57206749875438,"positive","positive",0
"ILMN_1814808","ILMN_1814808",0.161088322394282,0.0155003787968789,290.386286122953,10.3925410149795,1.0225950658239e-21,9.33833814110386e-18,-1.12465323522707,"BFAR","16",-1.10751956905239,-1.16163583155572,"negative","negative",0
"ILMN_1768534","ILMN_1768534",0.225587788750012,0.016330463406138,291.478750290895,13.8139245127129,9.84545193764694e-34,1.05809071973892e-29,-1.17160653810919,"BHLHE40","3",-1.14670308532933,-1.22587647290278,"negative","negative",0
"ILMN_2380418","ILMN_2380418",-0.182578767835315,0.0174959098427319,290.14198644703,-10.4355114696228,7.4030217008658e-22,6.77376485629221e-18,1.13292841343586,"BICD2","9",1.10203078703126,1.20091208255098,"positive","positive",0
"ILMN_2372413","ILMN_2372413",0.0895502445516001,0.0149531619723427,291.446827660423,5.98871628069246,6.21425212947147e-09,3.76894391652445e-05,-1.06861700075484,"BID","22",-1.06263070807514,-1.08134393434084,"negative","negative",0
"ILMN_1763386","ILMN_1763386",0.088112440774081,0.0135017955159058,292.160053567475,6.52597950178404,2.97762626361257e-10,1.94468771276537e-06,-1.07021485243549,"BID","22",-1.07688006295968,-1.05630252197728,"negative","negative",0
"ILMN_2309245","ILMN_2309245",0.236729946734274,0.0166884523394964,291.79865574732,14.185254685002,4.24970261336589e-35,4.6202766812514e-31,-1.17942829685256,"BIN1","2",-1.14709988643232,-1.25057585186222,"negative","negative",0
"ILMN_1674160","ILMN_1674160",0.235303164755197,0.0158986508949635,291.834627342723,14.8001969670105,2.32493962554556e-37,2.57673058699214e-33,-1.17649352181361,"BIN1","2",-1.14085163748161,-1.25529812224452,"negative","negative",0
"ILMN_1726342","ILMN_1726342",-0.199429077095621,0.0223833313399967,289.761658693315,-8.90971384314281,5.80716813989669e-17,4.79730160036866e-13,1.14335494135276,"BIN2","12",1.11065785624449,1.2154512814316,"positive","positive",0
"ILMN_1708485","ILMN_1708485",-0.0971462512684389,0.0155717732257767,289.912849677808,-6.23861199748454,1.55986068424276e-09,9.77800674564914e-06,1.0697338966524,"BIN3","8",1.04429089453854,1.12540387089269,"positive","positive",0
"ILMN_1776181","ILMN_1776181",0.329109962107198,0.0230593355454074,290.955445223198,14.2723089942956,2.14389067034658e-35,2.33748399787888e-31,-1.2646342558604,"BIRC3","11",-1.22192024874699,-1.35960773361044,"negative","negative",0
"ILMN_1681644","ILMN_1681644",0.252621898543624,0.0248293619934579,291.346140059147,10.1743209757136,5.26934618813771e-21,4.76085428098242e-17,-1.18990969012046,"BIRC3","11",-1.14556293851502,-1.28907372115993,"negative","negative",0
"ILMN_1675612","ILMN_1675612",0.0784202708713371,0.0133792834332059,289.818844210918,5.86132069500125,1.24761394862142e-08,7.40458878506813e-05,-1.05566381633529,"BLCAP","20",-1.05068734503717,-1.06622918239402,"negative","negative",0
"ILMN_1721921","ILMN_1721921",0.205971310095026,0.0227916278775792,289.79356219135,9.03714781591559,2.34668406657507e-17,1.95854252196355e-13,-1.15685342257191,"BLMH","17",-1.14680282202459,-1.17832470539761,"negative","negative",0
"ILMN_1691436","ILMN_1691436",0.212309953576099,0.0188029636961675,290.836643195246,11.2913026375397,9.2734139744653e-25,8.91916956064073e-21,-1.17064088672843,"BLVRA","7",-1.14718897979332,-1.22164819250975,"negative","negative",0
"ILMN_2106658","ILMN_2106658",-0.103903295841141,0.0153598955532333,289.980986748056,-6.76458348828222,7.37575995672581e-11,4.96757433085483e-07,1.07577593659634,"BLZF1","1",1.05660702519334,1.11732134236777,"positive","positive",0
"ILMN_1695354","ILMN_1695354",0.158691318650045,0.0243206242869661,289.628081543372,6.52496896369108,3.0308711516773e-10,1.97824960069977e-06,-1.12359328002851,"BMF","15",-1.10186862705318,-1.17079138492959,"negative","negative",0
"ILMN_2308338","ILMN_2308338",0.109878723935775,0.0195784642938025,289.944863604798,5.61222383364139,4.66843588183609e-08,0.000265400579882382,-1.08304125393899,"BMF","15",-1.08865982716298,-1.07129473395509,"negative","negative",0
"ILMN_1700915","ILMN_1700915",0.284066298589258,0.0193831342982103,290.482410778711,14.6553335605525,8.67682299433669e-37,9.57747722114884e-33,-1.2273551590451,"BMI1,COMMD3-BMI1","10",-1.18891050045256,-1.31249775891479,"negative","negative",0
"ILMN_2299045","ILMN_2299045",-0.0890559427342702,0.0175340660860651,290.651237838947,-5.07902401514535,6.79271229551773e-07,0.00348398213637104,1.07651530597117,"BMP2K","4",1.05361897737236,1.12641233202261,"positive","positive",0
"ILMN_1747650","ILMN_1747650",-0.183892556602867,0.0258294115616249,290.705904185288,-7.11950236125696,8.51333618226444e-12,5.98828067060481e-08,1.13727338063205,"BMP6","6",1.10350997803749,1.21185168373436,"positive","positive",0
"ILMN_1772713","ILMN_1772713",0.259696927991178,0.0170297837842882,290.5006340067,15.2495728237475,5.59488103984461e-39,6.2757780623937e-35,-1.19644800950143,"BMS1","10",-1.17566905376834,-1.24145066549323,"negative","negative",0
"ILMN_1770803","ILMN_1770803",-0.127330540412817,0.0140582432428142,290.530427901693,-9.05735789412389,2.00959071755236e-17,1.67981688080202e-13,1.0824137273023,"BNIP2","15",1.07624979863389,1.09552021774167,"positive","positive",0
"ILMN_1724658","ILMN_1724658",0.181273413207832,0.0174542060445328,290.279456751995,10.3856579179442,1.08047660055393e-21,9.86367088645683e-18,-1.13865092602876,"BNIP3","10",-1.10094299079078,-1.22240414282104,"negative","negative",0
"ILMN_1718961","ILMN_1718961",-0.101953089673764,0.0168395223244582,291.331339022403,-6.05439321314266,4.33346567550238e-09,2.64948091400215e-05,1.08602807172546,"BNIP3L","8",1.06591104318239,1.12967718489706,"positive","positive",0
"ILMN_1699989","ILMN_1699989",-0.122978734544443,0.0175616121419374,290.12544463366,-7.00270189037871,1.75077233148641e-11,1.21538615251787e-07,1.09113524068856,"BNIPL","1",1.07435891508602,1.12735457728753,"positive","positive",0
"ILMN_1689172","ILMN_1689172",-0.0956970407577266,0.0162999350791441,293.192771467189,-5.87100747905258,1.17150573361933e-08,6.97163062076863e-05,1.09465279224013,"ATXN1L","16",1.07828556707484,1.12996525133368,"positive","positive",0
